bam	read_counts
IAN_2brad_L2_5_S13_L002_R1_001_GCTT	1521227
IAN_2brad_L2_5_S13_L002_R1_001_GTGA	1238352
IAN_2brad_L2_5_S13_L002_R1_001_TCAC	2313655
IAN_2brad_L2_5_S13_L002_R1_001_TCAG	2181919
IAN_2brad_L2_5_S13_L002_R1_001_TGGT	2028519
IAN_2brad_L2_5_S13_L002_R1_001_TGTC	1896036
IAN_2brad_L2_6_S14_L002_R1_001_ACCA	886803
IAN_2brad_L2_6_S14_L002_R1_001_AGAC	537337
IAN_2brad_L2_6_S14_L002_R1_001_AGTG	1622123
IAN_2brad_L2_6_S14_L002_R1_001_CATC	1864402
IAN_2brad_L2_6_S14_L002_R1_001_CTAC	296337
IAN_2brad_L2_6_S14_L002_R1_001_GACT	1630431
IAN_2brad_L2_6_S14_L002_R1_001_GCTT	940665
IAN_2brad_L2_6_S14_L002_R1_001_GTGA	1423445
IAN_2brad_L2_6_S14_L002_R1_001_TCAC	2158725
IAN_2brad_L2_6_S14_L002_R1_001_TCAG	3136055
IAN_2brad_L2_6_S14_L002_R1_001_TGGT	1242943
IAN_2brad_L2_6_S14_L002_R1_001_TGTC	1304455
IAN_2brad_L2_7_S15_L002_R1_001_ACCA	910805
IAN_2brad_L2_7_S15_L002_R1_001_AGAC	1126965
IAN_2brad_L2_7_S15_L002_R1_001_AGTG	1927262
IAN_2brad_L2_7_S15_L002_R1_001_CATC	1070592
IAN_2brad_L2_7_S15_L002_R1_001_CTAC	1764758
IAN_2brad_L2_7_S15_L002_R1_001_GACT	1508735
IAN_2brad_L2_7_S15_L002_R1_001_GCTT	1559826
IAN_2brad_L2_7_S15_L002_R1_001_GTGA	1593743
IAN_2brad_L2_7_S15_L002_R1_001_TCAC	2107435
IAN_2brad_L2_7_S15_L002_R1_001_TCAG	2318161
IAN_2brad_L2_7_S15_L002_R1_001_TGGT	1398447
IAN_2brad_L2_7_S15_L002_R1_001_TGTC	2702084
IAN_2brad_L2_8_S16_L002_R1_001_ACCA	2518911
